buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-04 07:50:00,1.09176,-1,2016-01-04 08:18:00,1.09397,-22.1,2016-01-04 09:50:00,2016-01-04 10:18:00,1,0,4,9,28
2016-01-04 08:18:00,1.09397,-1,2016-01-04 08:57:00,1.09216,18.1,2016-01-04 10:18:00,2016-01-04 10:57:00,1,0,4,10,39
2016-01-04 08:36:00,1.09264,1,2016-01-04 10:57:00,1.09062,-20.2,2016-01-04 10:36:00,2016-01-04 12:57:00,1,0,4,10,141
2016-01-04 08:58:00,1.09197,1,2016-01-04 11:04:00,1.08993,-20.4,2016-01-04 10:58:00,2016-01-04 13:04:00,1,0,4,10,126
2016-01-04 13:33:00,1.0872,1,2016-01-04 13:47:00,1.08508,-21.2,2016-01-04 15:33:00,2016-01-04 15:47:00,1,0,4,15,14
2016-01-04 14:53:00,1.08354,1,2016-01-04 15:15:00,1.08152,-20.2,2016-01-04 16:53:00,2016-01-04 17:15:00,1,0,4,16,22
2016-01-04 15:14:00,1.08209,1,2016-01-04 16:09:00,1.08,-20.9,2016-01-04 17:14:00,2016-01-04 18:09:00,1,0,4,17,55
2016-01-04 16:16:00,1.07853,1,2016-01-04 17:08:00,1.08018,16.5,2016-01-04 18:16:00,2016-01-04 19:08:00,1,0,4,18,52
2016-01-05 10:06:00,1.07677,1,2016-01-05 13:10:00,1.07471,-20.6,2016-01-05 12:06:00,2016-01-05 15:10:00,1,1,5,12,184
2016-01-05 15:01:00,1.07337,1,2016-01-05 15:41:00,1.07144,-19.3,2016-01-05 17:01:00,2016-01-05 17:41:00,1,1,5,17,40
2016-01-05 16:45:00,1.07435,-1,2016-01-06 01:22:00,1.07654,-21.9,2016-01-05 18:45:00,2016-01-06 03:22:00,1,1,5,18,517
2016-01-06 01:21:00,1.07553,-1,2016-01-06 07:05:00,1.07354,19.9,2016-01-06 03:21:00,2016-01-06 09:05:00,1,2,6,3,344
2016-01-06 07:07:00,1.07341,1,2016-01-06 12:11:00,1.07535,19.4,2016-01-06 09:07:00,2016-01-06 14:11:00,1,2,6,9,304
2016-01-06 13:18:00,1.07304,1,2016-01-06 13:37:00,1.07532,22.8,2016-01-06 15:18:00,2016-01-06 15:37:00,1,2,6,15,19
2016-01-06 13:37:00,1.07532,-1,2016-01-06 14:31:00,1.07371,16.1,2016-01-06 15:37:00,2016-01-06 16:31:00,1,2,6,15,54
2016-01-06 15:06:00,1.07465,1,2016-01-06 15:42:00,1.07645,18.0,2016-01-06 17:06:00,2016-01-06 17:42:00,1,2,6,17,36
2016-01-06 15:59:00,1.07498,1,2016-01-06 19:02:00,1.07668,17.0,2016-01-06 17:59:00,2016-01-06 21:02:00,1,2,6,17,183
2016-01-06 19:03:00,1.07725,-1,2016-01-06 19:09:00,1.07935,-21.0,2016-01-06 21:03:00,2016-01-06 21:09:00,1,2,6,21,6
2016-01-06 19:20:00,1.0778,1,2016-01-06 19:52:00,1.07927,14.7,2016-01-06 21:20:00,2016-01-06 21:52:00,1,2,6,21,32
2016-01-07 01:21:00,1.07926,-1,2016-01-07 02:38:00,1.08124,-19.8,2016-01-07 03:21:00,2016-01-07 04:38:00,1,3,7,3,77
2016-01-07 01:49:00,1.07946,1,2016-01-07 02:38:00,1.08124,17.8,2016-01-07 03:49:00,2016-01-07 04:38:00,1,3,7,3,49
2016-01-07 07:09:00,1.08066,1,2016-01-07 07:37:00,1.07857,-20.9,2016-01-07 09:09:00,2016-01-07 09:37:00,1,3,7,9,28
2016-01-07 07:26:00,1.07976,1,2016-01-07 08:13:00,1.07776,-20.0,2016-01-07 09:26:00,2016-01-07 10:13:00,1,3,7,9,47
2016-01-07 09:02:00,1.08101,-1,2016-01-07 09:11:00,1.08473,-37.2,2016-01-07 11:02:00,2016-01-07 11:11:00,1,3,7,11,9
2016-01-07 09:20:00,1.08506,-1,2016-01-07 11:35:00,1.08688,-18.2,2016-01-07 11:20:00,2016-01-07 13:35:00,1,3,7,11,135
2016-01-07 15:02:00,1.0855,-1,2016-01-07 15:56:00,1.0836,19.0,2016-01-07 17:02:00,2016-01-07 17:56:00,1,3,7,17,54
2016-01-07 15:54:00,1.08409,1,2016-01-07 16:36:00,1.08581,17.2,2016-01-07 17:54:00,2016-01-07 18:36:00,1,3,7,17,42
2016-01-07 18:23:00,1.0885,-1,2016-01-07 18:45:00,1.09088,-23.8,2016-01-07 20:23:00,2016-01-07 20:45:00,1,3,7,20,22
2016-01-07 18:40:00,1.08995,-1,2016-01-07 19:56:00,1.0922,-22.5,2016-01-07 20:40:00,2016-01-07 21:56:00,1,3,7,20,76
