buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-03 09:34:00,118.19,-1,2017-01-03 10:34:00,118.143,4.7,2017-01-03 11:34:00,2017-01-03 12:34:00,1,1,3,11,60
2017-01-04 02:02:00,118.074,-1,2017-01-04 03:02:00,117.966,10.8,2017-01-04 04:02:00,2017-01-04 05:02:00,1,2,4,4,60
2017-01-04 05:21:00,118.076,-1,2017-01-04 06:21:00,118.084,-0.8,2017-01-04 07:21:00,2017-01-04 08:21:00,1,2,4,7,60
2017-01-04 06:26:00,118.02,-1,2017-01-04 07:26:00,117.997,2.3,2017-01-04 08:26:00,2017-01-04 09:26:00,1,2,4,8,60
2017-01-06 09:23:00,116.008,-1,2017-01-06 10:23:00,116.004,0.4,2017-01-06 11:23:00,2017-01-06 12:23:00,1,4,6,11,60
2017-01-06 19:12:00,117.128,-1,2017-01-06 20:12:00,117.032,9.6,2017-01-06 21:12:00,2017-01-06 22:12:00,1,4,6,21,60
2017-01-06 19:59:00,117.001,-1,2017-01-06 20:59:00,117.02,-1.9,2017-01-06 21:59:00,2017-01-06 22:59:00,1,4,6,21,60
2017-01-08 22:27:00,117.102,-1,2017-01-08 23:27:00,117.21,-10.8,2017-01-09 00:27:00,2017-01-09 01:27:00,1,0,9,0,60
2017-01-09 10:11:00,117.065,-1,2017-01-09 11:11:00,116.972,9.3,2017-01-09 12:11:00,2017-01-09 13:11:00,1,0,9,12,60
2017-01-09 10:29:00,117.109,-1,2017-01-09 11:29:00,116.839,27.0,2017-01-09 12:29:00,2017-01-09 13:29:00,1,0,9,12,60
2017-01-09 11:09:00,117.002,-1,2017-01-09 12:09:00,116.75,25.2,2017-01-09 13:09:00,2017-01-09 14:09:00,1,0,9,13,60
2017-01-09 21:09:00,116.084,-1,2017-01-09 22:09:00,115.813,27.1,2017-01-09 23:09:00,2017-01-10 00:09:00,1,0,9,23,60
2017-01-09 21:35:00,116.007,-1,2017-01-09 22:35:00,115.822,18.5,2017-01-09 23:35:00,2017-01-10 00:35:00,1,0,9,23,60
2017-01-10 02:15:00,116.197,-1,2017-01-10 03:15:00,115.577,62.0,2017-01-10 04:15:00,2017-01-10 05:15:00,1,1,10,4,60
2017-01-10 14:22:00,116.007,-1,2017-01-10 15:22:00,115.694,31.3,2017-01-10 16:22:00,2017-01-10 17:22:00,1,1,10,16,60
2017-01-11 02:26:00,116.105,-1,2017-01-11 03:26:00,116.014,9.1,2017-01-11 04:26:00,2017-01-11 05:26:00,1,2,11,4,60
2017-01-11 04:24:00,116.054,-1,2017-01-11 05:24:00,116.125,-7.1,2017-01-11 06:24:00,2017-01-11 07:24:00,1,2,11,6,60
2017-01-11 07:59:00,116.052,-1,2017-01-11 08:59:00,115.983,6.9,2017-01-11 09:59:00,2017-01-11 10:59:00,1,2,11,9,60
2017-01-12 00:54:00,115.197,-1,2017-01-12 01:54:00,115.034,16.3,2017-01-12 02:54:00,2017-01-12 03:54:00,1,3,12,2,60
2017-01-12 01:10:00,115.066,-1,2017-01-12 02:10:00,115.005,6.1,2017-01-12 03:10:00,2017-01-12 04:10:00,1,3,12,3,60
2017-01-12 01:26:00,115.135,-1,2017-01-12 02:26:00,114.823,31.2,2017-01-12 03:26:00,2017-01-12 04:26:00,1,3,12,3,60
2017-01-12 02:05:00,115.033,-1,2017-01-12 03:05:00,114.769,26.4,2017-01-12 04:05:00,2017-01-12 05:05:00,1,3,12,4,60
2017-01-12 10:15:00,114.332,-1,2017-01-12 11:15:00,114.213,11.9,2017-01-12 12:15:00,2017-01-12 13:15:00,1,3,12,12,60
2017-01-12 12:20:00,114.068,-1,2017-01-12 13:20:00,114.07,-0.2,2017-01-12 14:20:00,2017-01-12 15:20:00,1,3,12,14,60
2017-01-12 18:18:00,114.27,-1,2017-01-12 19:18:00,114.307,-3.7,2017-01-12 20:18:00,2017-01-12 21:18:00,1,3,12,20,60
2017-01-13 16:46:00,115.017,-1,2017-01-13 17:46:00,114.72,29.7,2017-01-13 18:46:00,2017-01-13 19:46:00,1,4,13,18,60
2017-01-16 02:56:00,114.058,-1,2017-01-16 03:56:00,114.16,-10.2,2017-01-16 04:56:00,2017-01-16 05:56:00,1,0,16,4,60
2017-01-16 05:51:00,114.095,-1,2017-01-16 06:51:00,113.782,31.3,2017-01-16 07:51:00,2017-01-16 08:51:00,1,0,16,7,60
