buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-01 23:02:00,116.901,-1,2017-01-02 08:07:00,117.232,-33.1,2017-01-02 01:02:00,2017-01-02 10:07:00,1,0,2,1,545
2017-01-02 00:00:00,116.795,1,2017-01-02 07:33:00,117.022,22.7,2017-01-02 02:00:00,2017-01-02 09:33:00,1,0,2,2,453
2017-01-02 07:34:00,117.027,-1,2017-01-02 08:12:00,117.432,-40.5,2017-01-02 09:34:00,2017-01-02 10:12:00,1,0,2,9,38
2017-01-02 08:07:00,117.232,-1,2017-01-02 08:12:00,117.432,-20.0,2017-01-02 10:07:00,2017-01-02 10:12:00,1,0,2,10,5
2017-01-02 13:26:00,117.34,1,2017-01-02 19:47:00,117.525,18.5,2017-01-02 15:26:00,2017-01-02 21:47:00,1,0,2,15,381
2017-01-02 19:51:00,117.613,-1,2017-01-02 22:27:00,117.41,20.3,2017-01-02 21:51:00,2017-01-03 00:27:00,1,0,2,21,156
2017-01-02 22:00:00,117.51,1,2017-01-02 22:52:00,117.293,-21.7,2017-01-03 00:00:00,2017-01-03 00:52:00,1,1,3,0,52
2017-01-02 22:30:00,117.331,1,2017-01-02 23:42:00,117.472,14.1,2017-01-03 00:30:00,2017-01-03 01:42:00,1,1,3,0,72
2017-01-02 23:02:00,117.222,1,2017-01-02 23:11:00,117.358,13.6,2017-01-03 01:02:00,2017-01-03 01:11:00,1,1,3,1,9
2017-01-02 23:38:00,117.455,-1,2017-01-03 07:20:00,117.774,-31.9,2017-01-03 01:38:00,2017-01-03 09:20:00,1,1,3,1,462
2017-01-02 23:54:00,117.498,-1,2017-01-03 01:03:00,117.32,17.8,2017-01-03 01:54:00,2017-01-03 03:03:00,1,1,3,1,69
2017-01-03 00:10:00,117.377,1,2017-01-03 07:04:00,117.571,19.4,2017-01-03 02:10:00,2017-01-03 09:04:00,1,1,3,2,414
2017-01-03 07:28:00,117.745,-1,2017-01-03 07:58:00,117.882,-13.7,2017-01-03 09:28:00,2017-01-03 09:58:00,1,1,3,9,30
2017-01-03 07:51:00,117.9,-1,2017-01-03 09:09:00,118.029,-12.9,2017-01-03 09:51:00,2017-01-03 11:09:00,1,1,3,9,78
2017-01-03 08:21:00,117.956,-1,2017-01-03 10:13:00,118.072,-11.6,2017-01-03 10:21:00,2017-01-03 12:13:00,1,1,3,10,112
2017-01-03 09:02:00,118.014,-1,2017-01-03 11:16:00,118.315,-30.1,2017-01-03 11:02:00,2017-01-03 13:16:00,1,1,3,11,134
2017-01-03 09:30:00,118.141,-1,2017-01-03 11:53:00,118.228,-8.7,2017-01-03 11:30:00,2017-01-03 13:53:00,1,1,3,11,143
2017-01-03 12:02:00,118.214,1,2017-01-03 14:50:00,118.111,-10.3,2017-01-03 14:02:00,2017-01-03 16:50:00,1,1,3,14,168
2017-01-03 14:56:00,118.118,1,2017-01-03 14:57:00,118.135,1.7,2017-01-03 16:56:00,2017-01-03 16:57:00,1,1,3,16,1
2017-01-03 15:33:00,118.451,1,2017-01-03 15:51:00,118.12,-33.1,2017-01-03 17:33:00,2017-01-03 17:51:00,1,1,3,17,18
2017-01-03 16:11:00,117.992,1,2017-01-03 16:19:00,117.796,-19.6,2017-01-03 18:11:00,2017-01-03 18:19:00,1,1,3,18,8
2017-01-03 17:44:00,117.488,1,2017-01-03 18:02:00,117.269,-21.9,2017-01-03 19:44:00,2017-01-03 20:02:00,1,1,3,19,18
2017-01-03 18:06:00,117.287,1,2017-01-03 18:47:00,117.444,15.7,2017-01-03 20:06:00,2017-01-03 20:47:00,1,1,3,20,41
2017-01-03 18:54:00,117.476,-1,2017-01-03 20:21:00,117.643,-16.7,2017-01-03 20:54:00,2017-01-03 22:21:00,1,1,3,20,87
2017-01-03 20:24:00,117.569,1,2017-01-03 21:51:00,117.754,18.5,2017-01-03 22:24:00,2017-01-03 23:51:00,1,1,3,22,87
2017-01-03 20:50:00,117.672,-1,2017-01-04 01:02:00,118.029,-35.7,2017-01-03 22:50:00,2017-01-04 03:02:00,1,1,3,22,252
2017-01-03 23:47:00,117.553,1,2017-01-04 00:04:00,117.742,18.9,2017-01-04 01:47:00,2017-01-04 02:04:00,1,2,4,1,17
2017-01-04 00:04:00,117.742,-1,2017-01-04 01:09:00,117.951,-20.9,2017-01-04 02:04:00,2017-01-04 03:09:00,1,2,4,2,65
2017-01-04 00:27:00,117.816,-1,2017-01-04 01:09:00,117.951,-13.5,2017-01-04 02:27:00,2017-01-04 03:09:00,1,2,4,2,42
2017-01-04 01:22:00,117.906,1,2017-01-04 01:47:00,118.129,22.3,2017-01-04 03:22:00,2017-01-04 03:47:00,1,2,4,3,25
2017-01-04 01:41:00,118.014,-1,2017-01-04 08:07:00,117.78,23.4,2017-01-04 03:41:00,2017-01-04 10:07:00,1,2,4,3,386
2017-01-04 02:57:00,117.946,1,2017-01-04 05:33:00,118.143,19.7,2017-01-04 04:57:00,2017-01-04 07:33:00,1,2,4,4,156
2017-01-04 03:34:00,117.917,1,2017-01-04 05:18:00,118.088,17.1,2017-01-04 05:34:00,2017-01-04 07:18:00,1,2,4,5,104
2017-01-04 06:25:00,118.021,1,2017-01-04 08:07:00,117.78,-24.1,2017-01-04 08:25:00,2017-01-04 10:07:00,1,2,4,8,102
2017-01-04 07:37:00,117.953,1,2017-01-04 08:29:00,117.78,-17.3,2017-01-04 09:37:00,2017-01-04 10:29:00,1,2,4,9,52
2017-01-04 08:32:00,117.839,-1,2017-01-04 09:15:00,117.596,24.3,2017-01-04 10:32:00,2017-01-04 11:15:00,1,2,4,10,43
2017-01-04 09:02:00,117.741,1,2017-01-04 09:28:00,117.625,-11.6,2017-01-04 11:02:00,2017-01-04 11:28:00,1,2,4,11,26
